keys,en,fr
APP_NAME,Virtualization Platform,Plateforme de Virtualisation
LOGIN_TITLE,Login,Connexion
LOGIN_ACTION,Log in,Se connecter
LOGOUT_ACTION,Logout,Se déconnecter
LOGIN_FAILED,Failed to login,Connexion échouée
USERNAME,Username,Nom d'utilisateur
PASSWORD,Password,Mot de passe
PROJECTS,Projects,Projets
NEW_PROJECT,New project,Nouveau projet
SEARCH_PROJECTS,Search for projects,Trouver des projets
PROJECT_NAME,Project Name,Nom du Projet
CREATE,Create,Créer
NO_PROJECT_MSG,No project found,Aucun projet trouvé
INFRASTRUCTURES,Infrastructures,Infrastructures
NEW_INFRA,New infrastructure,Nouvelle infrastructure
SEARCH_INFRA,Search for infrastructures,Trouver des infrastructures
NO_PROJECT_MSG,No infrastructure found,Aucune infrastructure trouvée
EMPTY_INFRA,Empty infrastructure,Infrastructure vide
CANCEL,Cancel,Annuler
INFRA_NAME,Infrastructure name,Nom de l'infrastructure
INFRA_TYPE,Infrastructure type,Type d'infrastructure
NO_INFRA_MSG,No infrastructure found,Aucune infrastructure trouvé
NUM_NODES,Number of nodes,Nombre de nœuds
CON_REGISTRY,Container registry,Registre de conteneurs
REGISTRIES,Registries,Registres
REGISTRY,Registry,Registre
SEARCH_REGISTRIES,Search for registries,Trouver des registres
NO_REGISTRY_MSG,No registry found,Aucun registre trouvé
NEW_REGISTRY,New registry,Nouveau registre
NEW_REGISTRY,New registry,Nouveau registre
REGISTRY_NAME,Registry name,Nom du registre
HOST_PORT,Host port,Port
